32
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.00	0.05	1.00	0.70	0.70	0.00	0.49
x1	1.00	0.05	0.30	0.74	0.71	0.00	0.56
x2	0.00	0.04	0.47	0.44	0.51	0.00	0.29
x3	0.00	0.01	0.54	0.19	0.10	0.09	0.17
x4	0.00	0.03	0.05	0.67	1.00	0.00	0.35
x5	0.00	0.17	0.15	0.89	0.15	0.00	0.27
x6	0.00	0.16	0.11	0.85	0.02	0.09	0.23
x7	0.00	0.15	0.06	0.78	0.61	0.00	0.32
x8	0.00	0.06	0.10	0.59	0.58	0.00	0.27
x9	0.00	0.09	0.16	0.63	0.93	0.00	0.36
x10	0.00	0.06	0.08	0.48	0.20	0.03	0.16
x11	0.00	0.01	0.08	0.33	0.16	0.00	0.12
x12	0.00	0.05	0.05	0.93	0.14	0.00	0.23
x13	0.00	0.51	0.20	1.00	0.13	0.01	0.37
x14	0.00	0.62	0.03	1.00	0.24	0.00	0.38
x15	0.00	0.52	0.08	1.00	0.47	0.00	0.41
x16	0.00	0.00	0.01	0.07	0.00	0.17	0.02
x17	0.00	0.04	0.03	0.41	0.10	0.06	0.12
x18	0.00	0.12	0.03	0.52	0.88	0.26	0.31
x19	0.00	0.07	0.05	0.56	0.57	0.02	0.25
x20	0.68	0.01	0.07	0.15	0.16	0.00	0.21
x21	0.63	0.01	0.01	0.11	0.14	0.00	0.18
x22	0.89	0.01	0.02	0.30	0.17	0.00	0.28
x23	0.54	0.00	0.02	0.00	0.06	0.00	0.12
x24	0.00	0.01	0.00	0.26	0.24	0.83	0.10
x25	0.00	0.03	0.03	0.37	0.12	0.65	0.11
x26	0.00	0.01	0.04	0.22	0.36	0.98	0.13
x27	0.00	0.00	0.08	0.04	0.04	0.90	0.03
x28	0.00	0.12	0.04	0.81	0.74	0.55	0.34
x29	0.00	0.37	0.06	0.96	0.29	0.91	0.34
x30	0.00	1.00	0.03	1.00	0.04	0.54	0.41
x31	0.00	0.44	0.01	1.00	0.27	1.00	0.34
32
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.00	0.00	0.35	0.00	0.06	1.00	0.08
x1	0.00	0.07	0.70	0.63	0.86	0.05	0.45
x2	0.00	0.00	0.29	0.11	0.23	0.65	0.13
x3	0.00	0.02	1.00	0.26	0.18	0.58	0.29
x4	0.00	0.15	0.36	0.93	0.95	0.07	0.48
x5	0.00	0.43	0.25	1.00	0.22	0.01	0.38
x6	0.00	0.48	0.28	1.00	0.15	0.26	0.38
x7	0.00	0.34	0.24	1.00	1.00	0.18	0.52
x8	0.00	0.02	0.22	0.30	0.28	0.25	0.16
x9	0.00	0.24	0.42	0.74	0.75	0.60	0.43
x10	0.00	0.01	0.40	0.19	0.19	0.05	0.16
x11	0.00	0.02	0.25	0.37	0.32	0.03	0.19
x12	0.00	0.02	0.37	0.52	0.32	0.10	0.25
x13	0.00	0.06	0.26	0.67	0.39	0.38	0.28
x14	0.00	0.58	0.38	1.00	0.13	0.13	0.42
x15	0.00	0.15	0.43	0.89	0.24	0.11	0.34
x16	0.00	0.15	0.02	0.70	0.07	0.64	0.19
x17	0.00	0.40	0.12	0.78	0.80	0.82	0.42
